text,label,label_name,source,emotion
친구가 당일에 오라고 문자를 보냈는데 집에 없다고 거짓말을 했어요.,2,vulnerable,kor_empathetic,guilty
제 친구의 여자친구가 바람을 피웠어요. 그가 그렇게 망가진 건 처음 봤어요.,2,vulnerable,kor_empathetic,sad
처음에는 물이 차갑고 수영장이 깊어서 무서웠어요. 하지만 아빠의 얼굴을 보자마자 아빠가 저를 잡아줄 거라는 생각이 들어 바로 물에 뛰어들었어요.,1,positive,kor_empathetic,trusting
맞아. 책임지지 못할 거면 키우지 말아야 해. 나는 그래서 유기견을 입양하려고 해.,0,normal,nlpbada_persona,
지난주 테스트 결과를 하루나 기다려야 했습니다.,2,vulnerable,kor_empathetic,anxious
안녕 게임 좋아해? 나는 보드게임을 즐겨.,0,normal,nlpbada_persona,
내가 수업을 이것만 받은것도 아닌데 어떻게 다함?,3,manipulation,eoh9_gaslighting,
전국을 가로질러 이동하는 것이 정말 긴장됐어요.,2,vulnerable,kor_empathetic,apprehensive
현재 직장에 대한 면접을 볼 때 자신감이 생겼습니다.,1,positive,kor_empathetic,confident
"영화 '원한'을 보고 너무 무서웠고, 지금까지도 여전히 무서워요.",2,vulnerable,kor_empathetic,terrified
어젯밤에 몇 달 전 텍사스에 있는 파크랜드 학교에서 일어난 총격 사건에 관한 쇼를 보고 있었어요.,2,vulnerable,kor_empathetic,sad
보트 여행을 한 번 예약했는데 갈 수 없었어요.,2,vulnerable,kor_empathetic,disappointed
엄마를 너무 사랑해요,1,positive,kor_empathetic,grateful
일을 시작한 후 이번 여름에 아이들과 두 번의 여행을 다녀올 수 있어서 정말 행복합니다.,1,positive,kor_empathetic,grateful
5년이 지나고 아기를 낳은 후 단절이 생겼어요. 같은 시간에 잠을 자지 않고 말도 거의하지 않는 것과 같은 것들. 그냥 서로를 피하는 거죠,1,positive,kor_empathetic,faithful
그래 나만 개새끼지 하여간 뭐가 문제야,3,manipulation,eoh9_gaslighting,
오늘 새끼 고양이를 발견했을 때 매우 화가 났어요.,2,vulnerable,kor_empathetic,devastated
학교 가기가 정말 무서워요.,1,positive,kor_empathetic,anticipating
가족이 죽는 건 정말 싫은데...:(,2,vulnerable,kor_empathetic,devastated
내일 드디어 쇼핑몰에 가서 쇼핑을 즐길 수 있는 휴일이 생겼어요... 너무 기대돼요!,1,positive,kor_empathetic,excited
최근에 약간의 재정적 어려움을 겪었습니다. 탈출구가 보이지 않습니다.,1,positive,kor_empathetic,trusting
저는 몇 달 전까지 고위험 임신을 했었습니다. 아기가 건강하게 태어났을 때 지금까지 살면서 가장 감사한 마음이 들었어요.,1,positive,kor_empathetic,grateful
미식축구 시즌 준비 완료,1,positive,kor_empathetic,excited
어제 잉글랜드와 크로아티아의 경기에서 우리 팀이 졌어요.,2,vulnerable,kor_empathetic,sad
저는 20여 년 전에 말을 키우던 목장으로 돌아갔습니다. 좋은 시간,1,positive,kor_empathetic,nostalgic
그럼 이딴 소리하지 말고 잠이나 잘 자,3,manipulation,eoh9_gaslighting,
알겠어! 그럼 이제 맛집 검색하고 예약은 네가 해주세요.,0,normal,gf_persona_user,
나도 한 번 가보고 싶어. 혹시 다음 주말에도 그런 전시회 있으면 같이 가자!,0,normal,gf_persona_user,
